0-9 y/o % of total pop,GQ_ESTIMATES_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Median_Household_Income_2018,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),anycondition_prevalence,Obesity_prevalence,diabetes_prevalence,Active Physicians per 100000 Population 2018 (AAMC)
0.475150470135616,0.00169905906893806,0.19815668202764977,0.23949044585987264,0.34114202049780384,0.32030075187969925,0.35883517829921213,0.35883517829921213,0.16861773975686623,0.18635321100917435,0.2233502538071065,0.11675126903553301,0.16666666666666674,0.004977264292494676,0.0034489529313362533,0.0035944649637332684,0.6266968325791855,0.6743515850144093,0.38974358974358975,0.14595089217630014
0.40390201825922706,0.007300907286327902,0.1382488479262673,0.224203821656051,0.30600292825768666,0.28270676691729324,0.3259748400792124,0.3259748400792124,0.22174696082845569,0.2035550458715596,0.2284263959390863,0.15736040609137047,0.21568627450980404,0.01121519864185028,0.007262052194132484,0.0071290535761870414,0.5588235294117647,0.5187319884726225,0.358974358974359,0.19704132987646789
0.40701588873627453,0.028160642390121907,0.14746543778801846,0.20509554140127392,0.21669106881405564,0.2,0.3897793164365802,0.3897793164365802,0.08374606033318321,0.08600917431192662,0.1116751269035533,0.04568527918781723,0.10784313725490202,0.002353853844987345,0.0025917452344760617,0.003266163189698193,0.5656108597285068,0.5331412103746398,0.31282051282051276,0.060240963855421714
0.47664900256701187,0.006818666098444492,0.10291858678955455,0.3095541401273886,0.18301610541727673,0.162406015037594,0.4405764271772734,0.4405764271772734,0.03219270598829349,0.04931192660550465,0.06175972927241957,0.030456852791878153,0.07843137254901966,0.01485110519315397,0.005377738651631032,0.00723615694358188,0.5633484162895928,0.6138328530259367,0.26153846153846155,0.02348635046515174
0.4876567114956111,0.024257853241670124,0.11827956989247312,0.2700636942675159,0.404099560761347,0.3789473684210526,0.344866150931031,0.344866150931031,0.16861773975686623,0.18635321100917435,0.2233502538071065,0.11675126903553301,0.16666666666666674,0.025160414883450218,0.017454362797556286,0.018186354815001783,0.588235294117647,0.6426512968299711,0.3282051282051282,0.14595089217630014
0.3201799140229141,0.1358966882366795,0.15821812596006146,0.7273885350318472,0.1595900439238653,0.1669172932330827,0.7878574176176433,0.7878574176176433,0.15533543448896892,0.17717889908256879,0.21912013536379016,0.08121827411167509,0.11764705882352944,0.08740379768328001,0.08740071481717827,0.08740139325698071,0.042986425339366474,0.04610951008645536,0.13846153846153852,0.134665243251487
0.47114477262172827,0.0004990635549025985,0.2688172043010753,0.13248407643312102,0.49194729136163984,0.512781954887218,0.3469675599435825,0.3469675599435825,0.06325979288608735,0.07912844036697247,0.0905245346869713,0.07106598984771573,0.10784313725490202,0.0031694334111005526,0.0016732252158462033,0.0016361279117678492,0.5452488687782806,0.5100864553314122,0.48205128205128206,0.05703827970108277
0.5062023394298717,0.0005383157446140389,0.18433179723502305,0.26242038216560515,0.20497803806734993,0.1969924812030075,0.3783034862019347,0.3783034862019347,0.09972985141828,0.15768348623853212,0.1996615905245347,0.18274111675126897,0.3529411764705883,0.0006293774053152351,0.00018020699487618822,0.0001951378308853222,0.41628959276018096,0.4380403458213256,0.21538461538461545,0.07488180570382796
0.40410722333011845,0.045072728700079626,0.07526881720430108,0.5159235668789809,0.09663250366032211,0.09022556390977443,0.6306933937399382,0.6306933937399382,0.22174696082845569,0.2035550458715596,0.2284263959390863,0.15736040609137047,0.21568627450980404,0.1374811012162101,0.08907869252018168,0.08744060922037955,0.39140271493212664,0.4207492795389049,0.2358974358974359,0.19704132987646789
0.4107675446928397,0.0032130721006650444,0.29032258064516137,0.14777070063694267,0.43045387994143486,0.40451127819548865,0.2102477525608696,0.2102477525608696,0.08779828905898246,0.14793577981651373,0.17681895093062605,0.10659898477157359,0.22549019607843146,0.0005401143500510047,0.00034682118835974813,0.0003918762741321938,0.595022624434389,0.5907780979827091,0.42051282051282063,0.08159219155101421
0.5002008501198973,0.026596162257337356,0.17050691244239635,0.28789808917197457,0.39824304538799415,0.3804511278195489,0.38320439942442763,0.38320439942442763,0.1479063484916704,0.19667431192660545,0.21996615905245354,0.07106598984771573,0.07843137254901966,0.027467217015739138,0.03765759714392137,0.03174888623740297,0.4683257918552036,0.5100864553314122,0.29743589743589754,0.14198566417569009
0.5278391235982247,0.0005046710105756614,0.21351766513056838,0.14012738853503184,0.23865300146412885,0.22255639097744362,0.404389451639099,0.404389451639099,0.08959927960378206,0.06880733944954126,0.09898477157360408,0.1370558375634518,0.2549019607843137,0.0009507034378710331,0.0006693897490556609,0.0008353507419350076,0.6561085972850678,0.6772334293948128,0.4051282051282052,0.060393472624675926
0.5412557480610513,1.121491134612581e-05,0.13978494623655915,0.23821656050955414,0.18887262079062958,0.18045112781954886,0.4861235770967788,0.4861235770967788,0.09522737505628093,0.12442660550458717,0.15566835871404394,0.24873096446700504,0.4607843137254902,0.0002834314025798918,0.0001495987677174714,0.00014701611765701215,0.6018099547511313,0.6253602305475505,0.31282051282051276,0.07061156016470949
